#  T(t-2),T(t-1),T(t),D(t-2),D(t-1),D(t),P(t+1)
22.60,22.70,23.00,4638.20,4423.90,4330.70,18.14
22.70,23.00,23.80,4423.90,4330.70,4250.30,16.39
23.00,23.80,25.80,4330.70,4250.30,4121.60,14.65
23.80,25.80,26.50,4250.30,4121.60,4043.80,15.34
25.80,26.50,27.80,4121.60,4043.80,4009.10,14.61
26.50,27.80,28.80,4043.80,4009.10,3954.50,14.92
27.80,28.80,29.60,4009.10,3954.50,3978.00,16.65
28.80,29.60,30.40,3954.50,3978.00,4028.60,17.68
29.60,30.40,29.70,3978.00,4028.60,4094.60,20.37
30.40,29.70,29.40,4028.60,4094.60,4226.50,20.52
29.70,29.40,30.30,4094.60,4226.50,4398.60,21.33
29.40,30.30,29.40,4226.50,4398.60,4693.50,22.38
30.30,29.40,30.20,4398.60,4693.50,4994.50,19.93
29.40,30.20,30.30,4693.50,4994.50,5371.60,27.23
30.20,30.30,30.60,4994.50,5371.60,5631.40,38.89
30.30,30.60,29.70,5371.60,5631.40,5879.70,40.37
30.60,29.70,30.10,5631.40,5879.70,6058.90,39.81
29.70,30.10,29.60,5879.70,6058.90,6078.00,40.07
30.10,29.60,29.70,6058.90,6078.00,6130.50,39.91
29.60,29.70,28.80,6078.00,6130.50,6123.90,41.05
29.70,28.80,28.50,6130.50,6123.90,6162.00,41.45
28.80,28.50,28.30,6123.90,6162.00,6141.80,42.76
28.50,28.30,28.30,6162.00,6141.80,6147.20,45.46
28.30,28.30,28.20,6141.80,6147.20,6181.20,43.92
28.30,28.20,28.00,6147.20,6181.20,6201.90,51.05
28.20,28.00,27.70,6181.20,6201.90,6235.80,47.26
28.00,27.70,27.40,6201.90,6235.80,6205.50,51.22
27.70,27.40,28.00,6235.80,6205.50,6242.60,47.02
27.40,28.00,27.50,6205.50,6242.60,6244.40,43.71
28.00,27.50,27.50,6242.60,6244.40,6226.70,43.16
27.50,27.50,26.90,6244.40,6226.70,6180.30,42.36
27.50,26.90,27.20,6226.70,6180.30,6145.30,41.87
26.90,27.20,27.40,6180.30,6145.30,6138.80,32.13
27.20,27.40,27.30,6145.30,6138.80,6044.20,31.81
27.40,27.30,27.30,6138.80,6044.20,5972.90,25.40
27.30,27.30,27.10,6044.20,5972.90,5842.20,24.50
