#  T(t-2),T(t-1),T(t),D(t-2),D(t-1),D(t),P(t+1)
23.40,24.30,23.90,4630.10,4522.80,4413.10,15.17
24.30,23.90,23.30,4522.80,4413.10,4262.30,14.56
23.90,23.30,23.00,4413.10,4262.30,4164.10,14.73
23.30,23.00,22.50,4262.30,4164.10,4094.80,15.14
23.00,22.50,22.80,4164.10,4094.80,4085.70,14.59
22.50,22.80,23.10,4094.80,4085.70,4020.40,14.32
22.80,23.10,23.50,4085.70,4020.40,3984.70,12.67
23.10,23.50,23.20,4020.40,3984.70,3979.40,13.71
23.50,23.20,22.90,3984.70,3979.40,3962.20,10.60
23.20,22.90,22.50,3979.40,3962.20,3998.40,10.25
22.90,22.50,23.10,3962.20,3998.40,4098.00,13.81
22.50,23.10,24.60,3998.40,4098.00,4229.30,14.83
23.10,24.60,25.60,4098.00,4229.30,4397.10,15.08
24.60,25.60,26.40,4229.30,4397.10,4573.60,16.11
25.60,26.40,27.00,4397.10,4573.60,4743.70,16.81
26.40,27.00,28.20,4573.60,4743.70,4889.30,17.10
27.00,28.20,28.80,4743.70,4889.30,4952.40,17.74
28.20,28.80,29.40,4889.30,4952.40,5078.40,18.36
28.80,29.40,29.50,4952.40,5078.40,5163.70,18.88
29.40,29.50,29.30,5078.40,5163.70,5216.40,20.27
29.50,29.30,28.80,5163.70,5216.40,5266.50,22.43
29.30,28.80,29.60,5216.40,5266.50,5321.70,22.67
28.80,29.60,30.10,5266.50,5321.70,5333.30,21.76
29.60,30.10,29.70,5321.70,5333.30,5343.70,22.01
30.10,29.70,29.50,5333.30,5343.70,5323.00,23.74
29.70,29.50,29.50,5343.70,5323.00,5337.30,24.78
29.50,29.50,29.90,5323.00,5337.30,5351.50,24.64
29.50,29.90,29.80,5337.30,5351.50,5328.60,24.97
29.90,29.80,29.50,5351.50,5328.60,5296.60,25.10
29.80,29.50,29.20,5328.60,5296.60,5324.10,27.48
29.50,29.20,29.50,5296.60,5324.10,5379.80,27.95
29.20,29.50,29.40,5324.10,5379.80,5394.10,29.30
29.50,29.40,29.00,5379.80,5394.10,5475.40,30.33
29.40,29.00,28.20,5394.10,5475.40,5532.60,25.58
29.00,28.20,28.20,5475.40,5532.60,5491.30,25.36
28.20,28.20,27.70,5532.60,5491.30,5584.70,27.46
28.20,27.70,27.70,5491.30,5584.70,5684.00,29.36
27.70,27.70,27.60,5584.70,5684.00,5679.10,26.05
27.70,27.60,27.40,5684.00,5679.10,5554.90,23.25
27.60,27.40,26.70,5679.10,5554.90,5483.90,24.16
27.40,26.70,27.10,5554.90,5483.90,5421.90,19.12
26.70,27.10,26.90,5483.90,5421.90,5285.10,19.24
27.10,26.90,26.60,5421.90,5285.10,5254.90,17.93
26.90,26.60,26.50,5285.10,5254.90,5152.00,19.74
26.60,26.50,25.90,5254.90,5152.00,5124.30,18.18
26.50,25.90,25.60,5152.00,5124.30,4865.40,16.88
25.90,25.60,25.30,5124.30,4865.40,4669.30,15.28
25.60,25.30,25.50,4865.40,4669.30,4525.70,15.93
25.30,25.50,24.70,4669.30,4525.70,4467.00,14.95
25.50,24.70,24.40,4525.70,4467.00,4355.90,14.56
24.70,24.40,24.50,4467.00,4355.90,4281.00,13.75
24.40,24.50,25.50,4355.90,4281.00,4240.40,13.78
24.50,25.50,25.80,4281.00,4240.40,4206.60,13.99
25.50,25.80,25.10,4240.40,4206.60,4204.40,14.45
25.80,25.10,24.70,4206.60,4204.40,4212.70,14.18
25.10,24.70,24.40,4204.40,4212.70,4227.20,15.01
24.70,24.40,23.50,4212.70,4227.20,4326.10,15.54
24.40,23.50,24.10,4227.20,4326.10,4478.70,16.82
23.50,24.10,24.80,4326.10,4478.70,4749.40,17.51
24.10,24.80,25.30,4478.70,4749.40,5091.00,17.79
24.80,25.30,26.90,4749.40,5091.00,5455.10,18.70
25.30,26.90,27.40,5091.00,5455.10,5775.30,23.98
26.90,27.40,28.20,5455.10,5775.30,6086.00,24.67
27.40,28.20,28.70,5775.30,6086.00,6248.80,25.62
28.20,28.70,28.80,6086.00,6248.80,6394.90,27.08
28.70,28.80,29.30,6248.80,6394.90,6457.10,26.81
28.80,29.30,29.50,6394.90,6457.10,6486.00,25.58
29.30,29.50,29.30,6457.10,6486.00,6474.20,26.04
29.50,29.30,29.30,6486.00,6474.20,6535.10,26.27
29.30,29.30,29.80,6474.20,6535.10,6550.70,26.96
29.30,29.80,30.00,6535.10,6550.70,6548.80,28.64
29.80,30.00,30.60,6550.70,6548.80,6584.30,29.17
30.00,30.60,30.70,6548.80,6584.30,6584.50,28.53
30.60,30.70,30.80,6584.30,6584.50,6607.80,27.48
30.70,30.80,30.60,6584.50,6607.80,6560.80,32.14
30.80,30.60,30.60,6607.80,6560.80,6599.60,40.30
30.60,30.60,30.30,6560.80,6599.60,6661.90,40.15
30.60,30.30,30.50,6599.60,6661.90,6700.70,43.92
30.30,30.50,30.50,6661.90,6700.70,6672.20,38.42
30.50,30.50,30.40,6700.70,6672.20,6656.30,29.49
30.50,30.40,30.00,6672.20,6656.30,6576.80,28.03
30.40,30.00,29.00,6656.30,6576.80,6461.10,25.92
30.00,29.00,29.10,6576.80,6461.10,6288.20,25.80
29.00,29.10,28.20,6461.10,6288.20,6320.90,27.13
29.10,28.20,27.90,6288.20,6320.90,6446.40,26.70
28.20,27.90,27.70,6320.90,6446.40,6466.50,23.05
27.90,27.70,27.50,6446.40,6466.50,6330.30,18.39
27.70,27.50,27.00,6466.50,6330.30,6182.50,20.12
27.50,27.00,25.90,6330.30,6182.50,6082.70,17.94
27.00,25.90,26.00,6182.50,6082.70,5918.50,24.94
25.90,26.00,26.20,6082.70,5918.50,5781.30,20.91
26.00,26.20,26.80,5918.50,5781.30,5592.60,24.50
26.20,26.80,26.50,5781.30,5592.60,5577.30,22.34
26.80,26.50,26.70,5592.60,5577.30,5266.10,20.84
26.50,26.70,27.40,5577.30,5266.10,5001.50,18.85
26.70,27.40,26.90,5266.10,5001.50,4901.30,17.57
27.40,26.90,25.80,5001.50,4901.30,4757.30,16.55
26.90,25.80,25.70,4901.30,4757.30,4604.10,16.17
25.80,25.70,24.90,4757.30,4604.10,4507.40,15.19
25.70,24.90,24.90,4604.10,4507.40,4533.50,16.18
24.90,24.90,25.00,4507.40,4533.50,4467.00,16.72
24.90,25.00,24.70,4533.50,4467.00,4492.60,17.21
25.00,24.70,24.70,4467.00,4492.60,4494.80,15.61
24.70,24.70,24.50,4492.60,4494.80,4484.00,15.66
24.70,24.50,24.30,4494.80,4484.00,4553.10,16.56
24.50,24.30,24.20,4484.00,4553.10,4646.10,17.93
24.30,24.20,24.20,4553.10,4646.10,4953.80,17.85
24.20,24.20,24.60,4646.10,4953.80,5205.20,17.56
24.20,24.60,24.90,4953.80,5205.20,5565.50,18.01
24.60,24.90,25.50,5205.20,5565.50,5856.00,23.43
24.90,25.50,26.30,5565.50,5856.00,6126.30,23.56
25.50,26.30,28.00,5856.00,6126.30,6253.20,23.51
26.30,28.00,28.90,6126.30,6253.20,6301.30,24.13
28.00,28.90,29.80,6253.20,6301.30,6405.50,24.80
28.90,29.80,30.20,6301.30,6405.50,6406.20,25.05
29.80,30.20,30.70,6405.50,6406.20,6437.50,25.04
30.20,30.70,30.50,6406.20,6437.50,6429.80,25.09
30.70,30.50,30.70,6437.50,6429.80,6450.70,25.13
30.50,30.70,30.40,6429.80,6450.70,6468.80,24.90
30.70,30.40,30.00,6450.70,6468.80,6434.90,25.04
30.40,30.00,30.30,6468.80,6434.90,6438.70,25.12
30.00,30.30,30.20,6434.90,6438.70,6462.20,25.09
30.30,30.20,30.90,6438.70,6462.20,6401.80,25.02
30.20,30.90,30.60,6462.20,6401.80,6390.50,24.83
30.90,30.60,30.30,6401.80,6390.50,6397.50,24.54
30.60,30.30,30.60,6390.50,6397.50,6361.80,24.51
30.30,30.60,30.50,6397.50,6361.80,6352.00,24.41
30.60,30.50,28.80,6361.80,6352.00,6299.90,22.39
30.50,28.80,28.50,6352.00,6299.90,6264.00,21.00
28.80,28.50,28.50,6299.90,6264.00,6216.30,17.72
28.50,28.50,27.80,6264.00,6216.30,6080.10,17.94
28.50,27.80,27.20,6216.30,6080.10,6075.60,19.00
27.80,27.20,27.40,6080.10,6075.60,6184.00,19.25
27.20,27.40,26.80,6075.60,6184.00,6159.80,17.85
27.40,26.80,26.90,6184.00,6159.80,5964.40,17.54
26.80,26.90,26.80,6159.80,5964.40,5866.60,17.48
26.90,26.80,26.90,5964.40,5866.60,5701.70,17.53
26.80,26.90,26.70,5866.60,5701.70,5560.70,21.23
26.90,26.70,26.80,5701.70,5560.70,5435.60,17.71
26.70,26.80,26.50,5560.70,5435.60,5301.80,22.00
26.80,26.50,27.00,5435.60,5301.80,5278.50,19.94
26.50,27.00,26.70,5301.80,5278.50,5026.80,18.97
27.00,26.70,26.70,5278.50,5026.80,4790.00,17.10
26.70,26.70,26.60,5026.80,4790.00,4658.90,15.70
26.70,26.60,26.10,4790.00,4658.90,4505.20,14.94
26.60,26.10,26.00,4658.90,4505.20,4393.80,14.85
26.10,26.00,26.00,4505.20,4393.80,4332.90,14.54
26.00,26.00,25.40,4393.80,4332.90,4277.60,14.19
26.00,25.40,25.40,4332.90,4277.60,4281.00,14.18
25.40,25.40,25.00,4277.60,4281.00,4239.30,14.57
25.40,25.00,24.80,4281.00,4239.30,4268.90,14.97
25.00,24.80,24.00,4239.30,4268.90,4298.00,15.40
24.80,24.00,24.20,4268.90,4298.00,4394.80,15.48
24.00,24.20,24.10,4298.00,4394.80,4509.20,17.10
24.20,24.10,24.30,4394.80,4509.20,4780.50,17.76
24.10,24.30,24.50,4509.20,4780.50,5061.10,17.42
24.30,24.50,24.30,4780.50,5061.10,5377.90,18.25
24.50,24.30,24.50,5061.10,5377.90,5653.70,20.42
24.30,24.50,25.20,5377.90,5653.70,5888.70,19.70
24.50,25.20,25.50,5653.70,5888.70,5963.20,20.51
25.20,25.50,25.50,5888.70,5963.20,6128.40,19.73
25.50,25.50,24.10,5963.20,6128.40,6123.40,21.14
25.50,24.10,23.80,6128.40,6123.40,6147.10,22.41
24.10,23.80,23.70,6123.40,6147.10,6116.90,21.73
23.80,23.70,23.70,6147.10,6116.90,6148.10,22.71
23.70,23.70,24.00,6116.90,6148.10,6168.30,23.61
23.70,24.00,24.30,6148.10,6168.30,6189.30,23.76
24.00,24.30,24.50,6168.30,6189.30,6190.30,24.54
24.30,24.50,25.00,6189.30,6190.30,6200.50,25.10
24.50,25.00,25.60,6190.30,6200.50,6177.20,23.98
25.00,25.60,25.60,6200.50,6177.20,6132.80,25.11
25.60,25.60,25.40,6177.20,6132.80,6175.00,25.21
25.60,25.40,26.30,6132.80,6175.00,6194.70,25.15
25.40,26.30,26.30,6175.00,6194.70,6135.10,25.39
26.30,26.30,26.10,6194.70,6135.10,6111.60,26.29
26.30,26.10,26.20,6135.10,6111.60,6156.80,21.71
26.10,26.20,26.10,6111.60,6156.80,6014.90,19.33
26.20,26.10,25.90,6156.80,6014.90,5917.40,18.23
